,year,country,value
216,2017,HU,27.21
217,2018,HU,29.15
218,2019,HU,29.73
219,2020,HU,28.07
220,2021,HU,28.93
221,2010,IE,559.0
222,2011,IE,546.76
223,2012,IE,495.4
224,2013,IE,517.57
225,2014,IE,581.81
226,2015,IE,564.14
227,2016,IE,588.36
228,2017,IE,617.02
229,2018,IE,622.54
230,2019,IE,619.8
231,2020,IE,633.38
232,2021,IE,594.51
233,2012,IS,3.9
234,2013,IS,3.8
235,2014,IS,3.7
236,2015,IS,3.5
237,2016,IS,6.95
238,2017,IS,4.61
239,2018,IS,4.77
240,2019,IS,4.81
241,2020,IS,4.64
242,2021,IS,4.96
243,2010,IT,1075.41
244,2011,IT,1009.21
245,2012,IT,981.12
246,2013,IT,855.32
247,2014,IT,709.43
248,2015,IT,788.28
249,2016,IT,809.66
250,2017,IT,756.42
251,2018,IT,809.22
252,2019,IT,779.82
253,2020,IT,732.28
254,2021,IT,747.89
255,2010,LT,42.65
256,2011,LT,41.08
257,2012,LT,39.95
258,2013,LT,36.77
259,2014,LT,39.26
260,2015,LT,44.13
261,2016,LT,42.29
262,2017,LT,40.88
263,2018,LT,40.28
264,2019,LT,42.46
265,2020,LT,41.73
266,2021,LT,43.7
267,2010,LU,9.55
268,2011,LU,8.88
269,2012,LU,8.47
270,2013,LU,7.95
271,2014,LU,8.48
272,2015,LU,9.08
273,2016,LU,9.42
274,2017,LU,9.54
275,2018,LU,9.87
276,2019,LU,10.17
277,2020,LU,10.25
278,2021,LU,10.5
279,2010,LV,17.61
280,2011,LV,17.13
281,2012,LV,16.37
282,2013,LV,15.67
283,2014,LV,17.0
284,2015,LV,17.36
285,2016,LV,17.7
286,2017,LV,16.75
287,2018,LV,15.87
288,2019,LV,14.78
289,2020,LV,14.52
290,2021,LV,15.54
291,2014,ME,3.87
292,2015,ME,4.12
293,2016,ME,3.84
294,2017,ME,4.89
295,2018,ME,5.12
296,2019,ME,5.44
297,2020,ME,6.01
298,2014,MK,0.8
299,2015,MK,1.58
300,2017,MK,1.21
301,2018,MK,0.64
302,2019,MK,0.6
303,2020,MK,0.54
304,2021,MK,0.55
305,2010,MT,1.42
306,2011,MT,1.12
307,2012,MT,1.11
308,2013,MT,1.13
309,2014,MT,1.13
310,2015,MT,1.03
311,2016,MT,1.15
312,2017,MT,1.12
313,2018,MT,1.07
314,2019,MT,1.03
315,2020,MT,1.14
316,2021,MT,1.05
317,2010,NL,388.61
318,2011,NL,381.56
319,2012,NL,373.44
320,2013,NL,379.1
321,2014,NL,376.18
322,2015,NL,382.52
323,2016,NL,416.06
324,2017,NL,438.87
325,2018,NL,459.21
326,2019,NL,424.3
327,2020,NL,432.84
328,2021,NL,429.64
329,2010,PL,385.98
330,2011,PL,379.93
331,2012,PL,371.0
332,2013,PL,339.02
333,2014,PL,412.66
334,2015,PL,471.01
335,2016,PL,501.46
336,2017,PL,558.58
337,2018,PL,564.72
338,2019,PL,560.45
339,2020,PL,559.38
340,2021,PL,555.12
341,2010,PT,93.66
342,2011,PT,96.0
343,2012,PT,92.99
344,2013,PT,84.09
345,2014,PT,79.84
346,2015,PT,88.62
347,2016,PT,91.1
348,2017,PT,91.09
349,2018,PT,93.79
350,2019,PT,92.03
351,2020,PT,97.78
352,2021,PT,103.0
353,2010,RO,28.32
354,2011,RO,29.07
355,2012,RO,28.82
356,2013,RO,29.28
357,2014,RO,29.2
358,2015,RO,44.47
359,2016,RO,57.53
360,2017,RO,59.14
361,2018,RO,49.92
362,2019,RO,43.54
363,2020,RO,32.19
364,2021,RO,36.2
365,2012,RS,34.98
366,2013,RS,35.49
367,2014,RS,36.85
368,2015,RS,40.02
369,2016,RS,41.98
370,2017,RS,45.05
371,2018,RS,44.52
372,2019,RS,46.57
373,2020,RS,47.36
374,2021,RS,48.34
375,2010,SE,148.34
376,2011,SE,147.78
377,2012,SE,135.25
378,2013,SE,135.73
379,2014,SE,141.95
380,2015,SE,143.98
381,2016,SE,131.25
382,2017,SE,132.07
383,2018,SE,136.87
384,2019,SE,139.67
385,2020,SE,141.0
386,2021,SE,135.82
387,2010,SI,35.77
388,2011,SI,35.57
389,2012,SI,33.09
390,2013,SI,32.1
391,2014,SI,31.57
392,2015,SI,33.58
393,2016,SI,35.66
394,2017,SI,35.79
395,2018,SI,34.87
396,2019,SI,35.74
397,2020,SI,36.5
398,2021,SI,37.54
399,2010,SK,13.61
400,2011,SK,11.28
401,2012,SK,9.76
402,2013,SK,9.53
403,2014,SK,8.83
404,2015,SK,8.4
405,2016,SK,8.29
406,2017,SK,7.79
407,2018,SK,8.11
408,2019,SK,8.27
409,2020,SK,7.93
410,2021,SK,9.02
411,2012,TR,439.09
412,2013,TR,486.62
413,2014,TR,501.03
414,2015,TR,418.51
415,2016,TR,440.11
416,2017,TR,435.49
417,2018,TR,570.68
418,2019,TR,632.33
419,2020,TR,458.32
420,2021,TR,452.12
431,2014,XK,9.69
432,2015,XK,11.26
433,2016,XK,13.73
434,2017,XK,12.73
435,2018,XK,16.35
436,2019,XK,16.12
