"STATISTIC","Statistic Label","TLIST(A1)","Year","C03530V04258","Sector of Activity","C03066V03701","Size of Enterprise","UNIT","VALUE"
"TSA11C02","Number of Exporting Enterprises","2020","2020","40","Wholesale and Retail (45-47)","01","Small (10 to 49)","Number","1083"
"TSA11C02","Number of Exporting Enterprises","2020","2020","40","Wholesale and Retail (45-47)","02","Medium (50 to 249)","Number","241"
"TSA11C02","Number of Exporting Enterprises","2020","2020","40","Wholesale and Retail (45-47)","03","Large (250 or more)","Number","55"
"TSA11C02","Number of Exporting Enterprises","2020","2020","40","Wholesale and Retail (45-47)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2020","2020","40","Wholesale and Retail (45-47)","-","All Enterprises","Number","4362"
"TSA11C02","Number of Exporting Enterprises","2020","2020","50","Services/other (49-98)","05","Micro (0 to 9)","Number","1775"
"TSA11C02","Number of Exporting Enterprises","2020","2020","50","Services/other (49-98)","01","Small (10 to 49)","Number","534"
"TSA11C02","Number of Exporting Enterprises","2020","2020","50","Services/other (49-98)","02","Medium (50 to 249)","Number","227"
"TSA11C02","Number of Exporting Enterprises","2020","2020","50","Services/other (49-98)","03","Large (250 or more)","Number","105"
"TSA11C02","Number of Exporting Enterprises","2020","2020","50","Services/other (49-98)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2020","2020","50","Services/other (49-98)","-","All Enterprises","Number","2641"
"TSA11C02","Number of Exporting Enterprises","2020","2020","99","Unknown","05","Micro (0 to 9)","Number",""
"TSA11C02","Number of Exporting Enterprises","2020","2020","99","Unknown","01","Small (10 to 49)","Number",""
"TSA11C02","Number of Exporting Enterprises","2020","2020","99","Unknown","02","Medium (50 to 249)","Number",""
"TSA11C02","Number of Exporting Enterprises","2020","2020","99","Unknown","03","Large (250 or more)","Number",""
"TSA11C02","Number of Exporting Enterprises","2020","2020","99","Unknown","99","Unknown","Number","50"
"TSA11C02","Number of Exporting Enterprises","2020","2020","99","Unknown","-","All Enterprises","Number","50"
"TSA11C02","Number of Exporting Enterprises","2020","2020","-","All sectors","05","Micro (0 to 9)","Number","6709"
"TSA11C02","Number of Exporting Enterprises","2020","2020","-","All sectors","01","Small (10 to 49)","Number","2534"
"TSA11C02","Number of Exporting Enterprises","2020","2020","-","All sectors","02","Medium (50 to 249)","Number","968"
"TSA11C02","Number of Exporting Enterprises","2020","2020","-","All sectors","03","Large (250 or more)","Number","339"
"TSA11C02","Number of Exporting Enterprises","2020","2020","-","All sectors","99","Unknown","Number","50"
"TSA11C02","Number of Exporting Enterprises","2020","2020","-","All sectors","-","All Enterprises","Number","10600"
"TSA11C03","Value of Imports","2017","2017","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Euro Million","240"
"TSA11C03","Value of Imports","2017","2017","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Euro Million","434"
"TSA11C03","Value of Imports","2017","2017","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Euro Million","883"
"TSA11C03","Value of Imports","2017","2017","10","Agriculture and Food (01-03,10-11)","03","Large (250 or more)","Euro Million","2153"
"TSA11C03","Value of Imports","2017","2017","10","Agriculture and Food (01-03,10-11)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2017","2017","10","Agriculture and Food (01-03,10-11)","-","All Enterprises","Euro Million","3709"
"TSA11C03","Value of Imports","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","05","Micro (0 to 9)","Euro Million","297"
"TSA11C03","Value of Imports","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","01","Small (10 to 49)","Euro Million","336"
"TSA11C03","Value of Imports","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","02","Medium (50 to 249)","Euro Million","866"
"TSA11C03","Value of Imports","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","03","Large (250 or more)","Euro Million","9539"
"TSA11C03","Value of Imports","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","-","All Enterprises","Euro Million","11038"
"TSA11C03","Value of Imports","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","05","Micro (0 to 9)","Euro Million","971"
"TSA11C03","Value of Imports","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","01","Small (10 to 49)","Euro Million","1340"
